tipo,quartos,title
,1,"Valor excelente rua tranquila , ótima localização - Venda - casas e apartamentos - Ribeirão Fresco, Blumenau | OLX"
,,"Salão comercial na BR470 - Gaspar - próximo ao posto Juninho - Lojas, salas e outros - Vila do Salto, Luiz Alves | OLX"
,,"Galpão industrial na BR 470 km65- Indaial - Lojas, salas e outros - Indaial, Santa Catarina | OLX"
,,"Terreno livre de enchente no bairro da Velha - Terrenos, sítios e fazendas - Velha Central, Blumenau | OLX"
,2,"Apartamento em Blumenau - Venda - casas e apartamentos - Passo Manso, Blumenau | OLX"
,,"Sala para consultório - Lojas, salas e outros - Bom Retiro, Blumenau | OLX"
,,"Sala comercial semi mobiliada na rua XV de Novembro - Lojas, salas e outros - Centro, Blumenau | OLX"
,4,"Linda Cobertura Duplex - Aluguel - casas e apartamentos - América, Joinville | OLX"
,2,"Casa aceita financiamento - Venda - casas e apartamentos - Indaial, Santa Catarina | OLX"
,2,"Apartamento em belíssimo residencial com estrutura de Clube - Venda - casas e apartamentos - Garcia, Blumenau | OLX"
,,"Terreno no Bairro Espinheiros/Corra e confira ligue agora mesmo - Terrenos, sítios e fazendas - Espinheiros, Itajaí | OLX"
,1,"Kitnet Bela Vista I São José - Aluguel - casas e apartamentos - Bela Vista, São José | OLX"
,2,"Excelente apartamento reformado no Residencial Bela Vista - Venda - casas e apartamentos - Gaspar, Santa Catarina | OLX"
,3,"Apartamento, Salto Weissbach, Blumenau-SC - Venda - casas e apartamentos - Salto Weissbach, Blumenau | OLX"
,3,"Apartamento novo - Bela Cobertura em Meia Praia Itapema - Venda - casas e apartamentos - Itapema, Santa Catarina | OLX"
,2,"Venda de casa - Venda - casas e apartamentos - Água Verde, Blumenau | OLX"
,,"Vende-se Terreno Blumenau R$ 130mil ESCRITURADO - Terrenos, sítios e fazendas - Itoupavazinha, Blumenau | OLX"
,3,"Apto com 01 suíte + 02 e sacada. Com piscina, salão - Venda - casas e apartamentos - Bom Retiro, Blumenau | OLX"
,3,"Apartamento em Blumenau, 3 dormitórios com 1 suíte, Bairro da Velha - Venda - casas e apartamentos - Velha, Blumenau | OLX"
,2,"Vendo/Troco Casa em Blumenau, Itoupava Central, 2 quartos, Piscina - Venda - casas e apartamentos - Itoupava Central, Blumenau | OLX"
,3,"Apartamento 3 suítes Bairro Escola Agricola, Blumenau - Venda - casas e apartamentos - Escola Agrícola, Blumenau | OLX"
,2,"Ótima Cobertura Duplex no Centro de Florianópolis - Venda - casas e apartamentos - Centro, Florianópolis | OLX"
,3,"Casa de Veraneio ou Moradia em Penha/SC - Venda - casas e apartamentos - Penha, Santa Catarina | OLX"
,2,"Belíssimo apartamento para venda em Blumenau - Venda - casas e apartamentos - Garcia, Blumenau | OLX"
,3,"Casa em Navegantes - Meia Praia - Venda - casas e apartamentos - Navegantes, Santa Catarina | OLX"
,3,"Casa em Pouso redondo perto do centro - Venda - casas e apartamentos - Centro, Pouso Redondo | OLX"
,,"Belissimo sitio com 87,000 m² nascente água,lagoa .Blumenau SC - Terrenos, sítios e fazendas - Progresso, Blumenau | OLX"
,3,"Belíssima casa de alvenaria de alto padrão Garcia Blumenau SC - Venda - casas e apartamentos - Valparaiso, Blumenau | OLX"
,,"Terreno, Santo Antonio, Apiúna-SC - Terrenos, sítios e fazendas - Indaial, Santa Catarina | OLX"
,2,"Belissimo apartamento,Itoupavazinha com FGTS de entrada . Blumenau SC - Venda - casas e apartamentos - Itoupavazinha, Blumenau | OLX"
,2,"Apartamento novo pode ser financiado com entra usando FGTS ,Itoupava Central. Blumenau SC - Venda - casas e apartamentos - Itoupava Central, Blumenau | OLX"
,3,"Permuto: casas de alvenaria,averbada,murada,R$ 290,000,00 Blumenau SC/apartamento - Venda - casas e apartamentos - Testo Salto, Blumenau | OLX"
,2,"Permuto por litoral apartamento 58,00 m² Escola Agrícola Blumenau SC - Venda - casas e apartamentos - Escola Agrícola, Blumenau | OLX"
,,"Sítio, 20,088 m² R 172,000,00 Vila Itoupava, Blumenau-SC - Terrenos, sítios e fazendas - Vila Itoupava, Blumenau | OLX"
,,"Belíssimo sitio 2,226,00 m² R310,000,00 Itoup. Central .Blumenau SC - Terrenos, sítios e fazendas - Itoupava Central, Blumenau | OLX"
,,"Belissimo sitio com 365,800,00 m² Jordão Blumenau SC - Terrenos, sítios e fazendas - Progresso, Blumenau | OLX"
,4,"Belissima casa de alvenaria .Itoupava Central .Blumenau SC - Venda - casas e apartamentos - Itoupavazinha, Blumenau | OLX"
,,"Terreno Itoupavazinha Blumenau .permuto por apartamento B. Camboriú SC - Terrenos, sítios e fazendas - Itoupava Central, Blumenau | OLX"
,,"Sítio, Glória, Blumenau-SC - Terrenos, sítios e fazendas - Glória, Blumenau | OLX"
,,"Belissimo sitio 80,000,00 m² itoupava Central Blumenau SC - Terrenos, sítios e fazendas - Itoupava Central, Blumenau | OLX"
,4,"Casa Blumenau- SC - Venda - casas e apartamentos - Itoupava Central, Blumenau | OLX"
,4,"Linda Casa Blumenau - SC - Venda - casas e apartamentos - Progresso, Blumenau | OLX"
,2,"Perto de tudo,lindos sobrados na agua verde - Venda - casas e apartamentos - Água Verde, Blumenau | OLX"
,3,"Apt Blumenau Oktoberfest - Temporada - Centro, Blumenau | OLX"
,,"Terreno 500 M² - Bairro Nova Esperança Blumenau - Terrenos, sítios e fazendas - Nova Esperança, Blumenau | OLX"
,,"Sala Comercial Centro Blumenau - Lojas, salas e outros - Centro, Blumenau | OLX"
,,"Linda chácara Blumenau - Terrenos, sítios e fazendas - Itoupava Norte, Blumenau | OLX"
,2,"Apto 2 dorm. c/ garagem próx. centro de Blumenau - Aluguel - casas e apartamentos - Centro, Blumenau | OLX"
,2,"Urgente - Aluguel - casas e apartamentos - Centro, Blumenau | OLX"
,2,"Lindo Sobrado Bairro Fortaleza Blumenau - Venda - casas e apartamentos - Fortaleza Alta, Blumenau | OLX"
,1,"Apartamento novo 1 Quarto no bairro Itoupava Seca, Blumenau SC - Aluguel - casas e apartamentos - Itoupava Seca, Blumenau | OLX"
,1,"Kitnet em Blumenau no bairro Progresso, 1 dormitório - Aluguel - casas e apartamentos - Progresso, Blumenau | OLX"
,2,"Casa em Blumenau, Escola Agrícola, 2 quartos (sendo 1 suíte) - Aluguel - casas e apartamentos - Escola Agrícola, Blumenau | OLX"
,3,"Casa comercial Blumenau - Venda - casas e apartamentos - Progresso, Blumenau | OLX"
,,"Terreno 3.884 troco por terreno em Blumenau - Terrenos, sítios e fazendas - Pomerode, Santa Catarina | OLX"
,4,"Casa na praia de São Miguel, Penha - Venda - casas e apartamentos - Penha, Santa Catarina | OLX"
,,"Loja de 66m² no Centro de Blumenau, entre o Blu Lanches e a Boutique dos Varais, 5m de alt - Lojas, salas e outros - Centro, Blumenau | OLX"
,3,"Apartamento 3 quartos em Blumenau - Próximo ao novo Campus da UFSC - Venda - casas e apartamentos - Velha, Blumenau | OLX"
,3,"Casa mista Garcia Blumenau - Venda - casas e apartamentos - Centro, Florianópolis | OLX"
,2,"Kitnet em Blumenau, 01 Quarto - Aluguel - casas e apartamentos - Água Verde, Blumenau | OLX"
,3,"Apartamento Blumenau - Venda - casas e apartamentos - Itoupava Seca, Blumenau | OLX"
